id|fecha_relevamiento,padre_vive|ult_est_cur_padre|sit_laboral_padre|padre_trab_hace|padre_trab_ocup|padre_trab_tarea|padre_trab_otro|madre_vive|ult_est_cur_madre|sit_laboral_madre|madre_trab_hace|madre_trab_ocup|madre_trab_tarea|madre_trab_otro|
13|01/04/2002|||||||||||||||
27|18/04/2013|S|Estudios universitarios completos|No esta pensando en trabajar||||Es jubilado ¿ pensionado|S|Estudios universitarios incompletos|No esta pensando en trabajar||||Es jubilado ¿ pensionado|
29|01/04/2002|||||||||||||||
33|01/04/2002|||||||||||||||
34|01/04/2002|||||||||||||||
41|01/04/2002|||||||||||||||
51|12/03/2004|||||||||||||||
55|01/04/2002|||||||||||||||
60|01/04/2002|||||||||||||||
65|01/04/2002|||||||||||||||
78|01/04/2002|||||||||||||||
85|01/04/2002|||||||||||||||
120|01/04/2002|||||||||||||||
135|16/03/2005|||||||||||||||
136|29/11/2002||Estudios primarios completos|Trabajó al menos una hora||||||Estudios primarios completos|No esta pensando en trabajar|||||
141|01/04/2002|||||||||||||||
143|01/04/2002|||||||||||||||
157|01/04/2002|||||||||||||||
166|21/06/2022|||||||||||||||
179|31/03/2021|S|Estudios secundarios incompletos|Desconoce|||||S|Estudios primarios completos|Desconoce|||||
219|20/04/2017|||||||||||||||
220|01/04/2002|||||||||||||||
224|20/04/2017|||||||||||||||
229|01/04/2002|||||||||||||||
244|01/04/2002|||||||||||||||
254|01/04/2002|||||||||||||||
258|01/04/2002|||||||||||||||
260|01/04/2002|||||||||||||||
287|01/04/2002|||||||||||||||
299|20/04/2017|||||||||||||||
303|20/04/2017|||||||||||||||
314|01/04/2002|||||||||||||||
341|01/04/2002|||||||||||||||
351|20/04/2017|||||||||||||||
352|01/04/2002|||||||||||||||
361|01/04/2002|||||||||||||||
396|01/04/2002|||||||||||||||
401|01/04/2002|||||||||||||||
420|20/04/2017|||||||||||||||
430|01/04/2002|||||||||||||||
440|01/04/2002|||||||||||||||
444|01/04/2002|||||||||||||||
460|01/04/2002|||||||||||||||
468|01/04/2002|||||||||||||||
497|01/04/2002|||||||||||||||
527|06/12/2002||Estudios secundarios incompletos|Trabajó al menos una hora||||||Estudios primarios incompletos||||||
537|21/06/2022|||||||||||||||
538|21/06/2022|||||||||||||||
557|01/04/2002|||||||||||||||
570|01/04/2002|||||||||||||||
571|01/04/2002|||||||||||||||
599|01/04/2002|||||||||||||||
611|29/08/2016|S|Estudios primarios completos|Trabajó al menos una hora|Cuenta propia|Temporaria|productor agropecuario||S|Estudios primarios completos|Desconoce|||||
624|20/04/2017||Estudios superiores incompletos|No esta pensando en trabajar||||||Estudios secundarios completos|No esta pensando en trabajar|||||
643|20/04/2017|||||||||||||||
657|22/02/2008|S|Estudios secundarios completos|Desconoce|||||S|Estudios secundarios completos|Desconoce|||||
668|27/04/2004||||||||||No esta pensando en trabajar|||||
3582|27/04/2004||||||||||No esta pensando en trabajar|||||
677|01/04/2002|||||||||||||||
724|21/06/2022|||||||||||||||
736|20/04/2017|||||||||||||||
738|01/04/2002|||||||||||||||
739|08/08/2007||Estudios secundarios incompletos|Trabajó al menos una hora||||||Estudios primarios completos|Trabaj¿ al menos una hora|||||
750|01/04/2002|||||||||||||||
753|01/04/2002|||||||||||||||
760|20/04/2017|||||||||||||||
768|01/04/2002|||||||||||||||
778|20/04/2017|||||||||||||||
781|01/04/2002|||||||||||||||
787|01/04/2002|||||||||||||||
815|01/04/2002|||||||||||||||
817|01/04/2002|||||||||||||||
841|01/04/2002|||||||||||||||
850|26/09/2005|||||||||||||||
855|01/04/2002|||||||||||||||
856|01/04/2002|||||||||||||||
859|01/04/2002|||||||||||||||
883|09/06/2014|||||||||||||||
885|26/03/2013|S|Estudios secundarios completos|No esta pensando en trabajar|||||S|Estudios secundarios incompletos|No esta pensando en trabajar|||||
889|21/06/2022|||||||||||||||
912|20/04/2017|||||||||||||||
922|01/04/2002|||||||||||||||
926|01/04/2002|||||||||||||||
929|01/04/2002|||||||||||||||
940|01/04/2002|||||||||||||||
976|14/02/2014|S|Estudios primarios completos|No esta pensando en trabajar|||||N|Estudios superiores completos||||||
980|20/04/2017|S|Estudios secundarios completos|Trabajó al menos una hora|Obrero o empleado|Temporaria|remisero||S|Estudios primarios completos|No esta pensando en trabajar|||||
